t,x_foot,z_foot,phi_leg,phi_body,len_leg,ddt_x_foot,ddt_z_foot,ddt_phi_leg,ddt_phi_body,ddt_len_leg,fsm_state,u1,u2
1.2732766275e-01,-2.3867628013e-02,3.2114558347e-01,3.6382595068e-02,-3.5991519488e-03,1.0000003333e+00,-2.4170424963e-01,-1.2384822746e+00,2.6726204770e-01,-3.6450763247e-02,-1.6047519067e-06,2,0.0000000000e+00,8.3824199852e-01
1.3071359647e-01,-2.4682264239e-02,3.1689623384e-01,3.7283384207e-02,-3.7220051919e-03,1.0000003274e+00,-2.3944431361e-01,-1.2715220390e+00,2.6477099601e-01,-3.6110038922e-02,-1.8290315484e-06,2,0.0000000000e+00,9.3243255982e-01
1.3407935081e-01,-2.5484068883e-02,3.1256131034e-01,3.8170011082e-02,-3.8429235995e-03,1.0000003209e+00,-2.3696722996e-01,-1.3043807470e+00,2.6203970338e-01,-3.5736541350e-02,-2.0339994379e-06,2,0.0000000000e+00,1.0205557968e+00
1.3742446495e-01,-2.6272333092e-02,3.0814336472e-01,3.9041691056e-02,-3.9618001795e-03,1.0000003137e+00,-2.3429116022e-01,-1.3370538291e+00,2.5908821279e-01,-3.5333007975e-02,-2.2198405729e-06,2,0.0000000000e+00,1.1028231368e+00
1.4075131963e-01,-2.7047081253e-02,3.0364110636e-01,3.9898450225e-02,-4.0786385153e-03,1.0000003061e+00,-2.3143102241e-01,-1.3695644049e+00,2.5593299026e-01,-3.4901687331e-02,-2.3869824319e-06,2,0.0000000000e+00,1.1795088636e+00
1.4406297126e-01,-2.7808529962e-02,2.9905197858e-01,4.0740527214e-02,-4.1934711750e-03,1.0000002979e+00,-2.2839977293e-01,-1.4019421766e+00,2.5258833690e-01,-3.4444532255e-02,-2.5359351749e-06,2,0.0000000000e+00,1.2508835898e+00
1.4736011423e-01,-2.8556385445e-02,2.9437641010e-01,4.1567596203e-02,-4.3062537565e-03,1.0000002893e+00,-2.2521136594e-01,-1.4341937304e+00,2.4906965457e-01,-3.3963646197e-02,-2.6671850026e-06,2,0.0000000000e+00,1.3171513479e+00
1.5064115427e-01,-2.9289891312e-02,2.8961809104e-01,4.2378819659e-02,-4.4168720904e-03,1.0000002803e+00,-2.2188135436e-01,-1.4663032031e+00,2.4539411122e-01,-3.3461373960e-02,-2.7812418284e-06,2,0.0000000000e+00,1.3784684192e+00
1.5390530042e-01,-3.0008539645e-02,2.8477970725e-01,4.3173634733e-02,-4.5252494784e-03,1.0000002710e+00,-2.1842407652e-01,-1.4982625163e+00,2.4157753689e-01,-3.2939877407e-02,-2.8787257422e-06,2,0.0000000000e+00,1.4350103069e+00
1.5715460994e-01,-3.0712495045e-02,2.7985968161e-01,4.3952222312e-02,-4.6314106432e-03,1.0000002615e+00,-2.1485017105e-01,-1.5300914352e+00,2.3763167908e-01,-3.2400760540e-02,-2.9603529101e-06,2,0.0000000000e+00,1.4869970247e+00
